address;source_location;insn;indent
0x13aa;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:77;MOV	%R12,%RDI;  (5) 
0x13ad;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:77;CALL	125b <convolve_baseline>;  (5) 
0x13b2;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:77;MOV	%EAX,%EBX;  (5) 
0x13b4;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:78;LEA	0x40(%RSP),%RSI;  (5) 
0x13b9;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:78;MOV	$0x3,%ECX;  (5) 
0x13be;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:78;MOV	$0x3,%EDX;  (5) 
0x13c3;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:78;MOV	%R12,%RDI;  (5) 
0x13c6;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:78;CALL	125b <convolve_baseline>;  (5) 
0x13cb;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:80;IMUL	%EBX,%EBX;  (5) 
0x13ce;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:80;IMUL	%EAX,%EAX;  (5) 
0x13d1;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:80;ADD	%EAX,%EBX;  (5) 
0x13d3;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:80;VXORPD	%XMM2,%XMM2,%XMM2;  (5) 
0x13d7;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:80;VCVTSI2SD	%EBX,%XMM2,%XMM0;  (5) 
0x13db;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:80;VXORPD	%XMM1,%XMM1,%XMM1;  (5) 
0x13df;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:80;VUCOMISD	%XMM0,%XMM1;  (5) 
0x13e3;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:80;JA	1381 <sobel_baseline+0xd2>;  (5) 
0x13e5;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:80;VSQRTSD	%XMM0,%XMM0,%XMM0;  (5) 
0x13e9;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:80;VCVTSD2SS	%XMM0,%XMM0,%XMM0;  (5) 
0x13ed;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:82;MOV	$-0x1,%EAX;  (5) 
0x13f2;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:82;VCOMISS	0x4(%RSP),%XMM0;  (5) 
0x13f8;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:82;JA	1388 <sobel_baseline+0xd9>;  (5) 
0x13fa;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:82;VCVTTSS2SI	%XMM0,%EAX;  (5) 
0x13fe;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:82;JMP	1388 <sobel_baseline+0xd9>;  (5) 
0x1400;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:74;ADD	$0xf00,%R14;(4) 
0x1407;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:74;ADD	$0xf00,%R13;(4) 
0x140e;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:74;MOV	0x8(%RSP),%RAX;(4) 
0x1413;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:74;CMP	%RAX,%R13;(4) 
0x1416;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:74;JE	1422 <sobel_baseline+0x173>;(4) 
0x1418;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:75;MOV	$0,%EBP;(4) 
0x141d;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:75;JMP	1398 <sobel_baseline+0xe9>;(4) 
0x1422;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:84;MOV	0x68(%RSP),%RAX;
0x1427;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:84;SUB	%FS:0x28,%RAX;
0x1430;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:84;JNE	1441 <sobel_baseline+0x192>;
0x1432;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:84;ADD	$0x78,%RSP;
0x1436;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:84;POP	%RBX;
0x1437;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:84;POP	%RBP;
0x1438;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:84;POP	%R12;
0x143a;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:84;POP	%R13;
0x143c;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:84;POP	%R14;
0x143e;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:84;POP	%R15;
0x1440;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:84;RET;
0x1441;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:84;CALL	1070 <__stack_chk_fail@plt>;
